date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:55:26	19286/19286	---M--	200	added ('OK')	image/gif	etag:%22041af687cc3ce1:63c99%22	http://web365.vn/skin/product1/spa1.gif	E:/Web/365/web365.vn/skin/product1/spa1.gif	(from http://web365.vn/)
18:55:26	14995/14995	---M--	200	added ('OK')	image/gif	etag:%22041af687cc3ce1:63c99%22	http://web365.vn/skin/product1/spa2.gif	E:/Web/365/web365.vn/skin/product1/spa2.gif	(from http://web365.vn/)
18:55:26	30781/30781	---M--	200	added ('OK')	image/gif	etag:%22041af687cc3ce1:63c99%22	http://web365.vn/skin/product1/noithat8.gif	E:/Web/365/web365.vn/skin/product1/noithat8.gif	(from http://web365.vn/)
18:55:27	14494/14494	---M--	200	added ('OK')	image/gif	etag:%22041af687cc3ce1:63c99%22	http://web365.vn/skin/product1/spa3.gif	E:/Web/365/web365.vn/skin/product1/spa3.gif	(from http://web365.vn/)
18:55:28	16579/16579	---M--	200	added ('OK')	image/gif	etag:%22041af687cc3ce1:63c99%22	http://web365.vn/skin/product1/spa5.gif	E:/Web/365/web365.vn/skin/product1/spa5.gif	(from http://web365.vn/)
18:55:31	22758/22758	---M--	200	added ('OK')	image/gif	etag:%22041af687cc3ce1:63c99%22	http://web365.vn/skin/product1/win3.gif	E:/Web/365/web365.vn/skin/product1/win3.gif	(from http://web365.vn/)
18:55:31	25274/25274	---M--	200	added ('OK')	image/gif	etag:%22041af687cc3ce1:63c99%22	http://web365.vn/skin/product1/win2.gif	E:/Web/365/web365.vn/skin/product1/win2.gif	(from http://web365.vn/)
18:55:31	16783/16783	---M--	200	added ('OK')	image/gif	etag:%22041af687cc3ce1:63c99%22	http://web365.vn/skin/product1/wine1.gif	E:/Web/365/web365.vn/skin/product1/wine1.gif	(from http://web365.vn/)
18:55:31	1829/1829	---M--	200	added ('OK')	image/png	etag:%220dcd7719636cf1:63c99%22	http://web365.vn/skin/doitac1.png	E:/Web/365/web365.vn/skin/doitac1.png	(from http://web365.vn/)
18:55:31	567/567	---M--	200	added ('OK')	image/png	etag:%220d8c13d1413cd1:63c99%22	http://web365.vn/skin/lienhe.png	E:/Web/365/web365.vn/skin/lienhe.png	(from http://web365.vn/)
18:55:32	91668/91668	---M--	200	added ('OK')	application/x-javascript	etag:%220d6cad6fd10cd1:63c99%22	http://web365.vn/js/jquery.min.js	E:/Web/365/web365.vn/js/jquery.min.js	(from http://web365.vn/)
18:55:35	201875/201875	---M--	200	added ('OK')	application/x-javascript	etag:%220d6cad6fd10cd1:63c99%22	http://web365.vn/js/jquery-ui.min.js	E:/Web/365/web365.vn/js/jquery-ui.min.js	(from http://web365.vn/)
18:55:36	33182/33182	---M--	200	added ('OK')	application/x-javascript	etag:%220e668a054bcd1:63c99%22	http://web365.vn/js/iscroll.js	E:/Web/365/web365.vn/js/iscroll.js	(from http://web365.vn/)
18:55:37	1172/1172	---M--	200	added ('OK')	application/x-javascript	etag:%22032a49b54bcd1:63c99%22	http://web365.vn/js/jquery.mousewheel.min.js	E:/Web/365/web365.vn/js/jquery.mousewheel.min.js	(from http://web365.vn/)
18:55:37	15085/15085	---M--	200	added ('OK')	application/x-javascript	etag:%220d8419954bcd1:63c99%22	http://web365.vn/js/jquery.isotope.min.js	E:/Web/365/web365.vn/js/jquery.isotope.min.js	(from http://web365.vn/)
